"Tobacco, sales and inventories, monthly production (x 1,000)" 1
"Monthly"
"Table: 16-10-0044-01 (formerly CANSIM 303-0062)"
"Geography: Canada"

"","Production","Total sales","Adjustments of total sales","Opening inventory","Closing inventory"
"","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2","Cigarettes 2"
"Reference period","Canada","Canada","Canada","Canada","Canada"
"","Number",,,,
"July 2011","1,872,596","1,799,739","x","2,202,013","2,260,286"
"August 2011","2,107,134","1,975,365","x","2,260,286","2,360,900"
"September 2011","1,948,643","1,825,318","x","2,360,900","2,480,368"
"October 2011","1,859,876","1,789,841","x","2,480,368","2,531,542"
"November 2011","1,946,798","1,746,602","x","2,531,542","2,680,480"
"December 2011","1,606,296","1,786,556","x","2,680,480","2,455,781"
"January 2012","1,591,432","1,599,729","x","2,455,781","2,444,891"
"February 2012","1,628,309","1,631,452","x","2,444,891","2,427,382"
"March 2012","1,971,517","1,867,846","x","2,427,382","2,499,510"
"April 2012","1,677,160","1,545,828","x","2,499,510","2,589,402"
"May 2012","2,023,708","1,993,640","x","2,589,402","2,608,795"
"June 2012","1,946,163","1,943,445","x","2,608,795","2,554,699"
"July 2012","1,752,578","1,964,757","x","2,554,699","2,271,493"
"August 2012","2,198,416","2,093,639","x","2,271,493","2,313,504"
"September 2012","1,929,044","1,662,497","x","2,313,504","2,541,152"
"October 2012","2,187,710","1,870,621","x","2,541,152","2,834,739"
"November 2012","2,093,460","1,668,092","x","2,834,739","3,216,243"
"December 2012","1,306,312","1,892,325","x","3,216,243","x"
"January 2013","1,492,505","1,577,409","x","x","x"
"February 2013","1,577,591","1,628,581","x","x","x"
"March 2013","1,881,072","1,665,807","x","x","x"
"April 2013","1,973,585","1,877,481","x","x","x"
"May 2013","1,986,489","2,068,125","x","x","x"
"June 2013","1,889,074","1,920,469","x","x","x"
"July 2013","2,181,567","2,134,653","x","x","x"
"August 2013","1,705,405","1,936,411","x","x","x"
"September 2013","1,828,464","1,880,603","x","x","x"
"October 2013","2,070,188r","1,928,384r","x","x","x"
"November 2013","2,080,455","1,622,399","x","x","x"
"December 2013","1,383,787","1,962,962","x","x","x"
"January 2014","1,754,133","1,601,259r","x","x","x"
"February 2014","1,788,694","1,425,039","x","x","x"
"March 2014","1,795,956","1,636,017","x","x","x"
"April 2014","1,901,657","1,646,001","x","x","x"
"May 2014","2,117,545","1,872,175","x","x","x"
"June 2014","1,983,107","1,984,803","x","x","x"
"July 2014","2,068,158","2,073,018","x","x","x"
"August 2014","1,525,337","1,770,111","x","x","x"
"September 2014","1,755,396","1,904,652","x","x","x"
"October 2014","1,794,158","1,771,918","x","x","x"
"November 2014","1,665,171","1,550,970","x","x","x"
"December 2014","1,200,415","1,889,531","x","x","x"
"January 2015","1,562,457","1,362,177","x","x","x"
"February 2015","1,502,702","1,413,596","x","x","x"
"March 2015","1,839,530","1,654,393","x","x","x"
"April 2015","2,070,281","1,695,852","x","x","x"
"May 2015","1,886,848","1,767,155","x","x","x"
"June 2015","1,890,465","2,082,119","x","x","x"
"July 2015","1,878,719","2,036,715","x","x","x"
"August 2015","1,661,583","1,825,219","x","x","x"
"September 2015","1,972,663","1,858,106","x","x","x"
"October 2015","1,866,820","1,696,300","x","x","x"
"November 2015","1,729,625","1,687,443","x","x","x"
"December 2015","1,320,033","1,827,439","x","x","x"
"January 2016","1,582,372","1,549,799r","x","x","x"
"February 2016","1,539,235","1,460,571r","x","x","x"
"March 2016","1,859,628","1,758,898r","x","x","x"
"April 2016","1,902,514","1,637,720","x","x","x"
"May 2016","2,027,894r","2,033,995","x","x","x"
"June 2016","1,927,781","2,033,050","x","x","x"
"July 2016","1,691,443","1,837,192","x","x","x"
"August 2016","1,967,608","2,051,238","x","x","x"
"September 2016","1,952,828r","1,867,634r","x","x","x"
"October 2016","1,874,073r","1,653,817r","x","x","x"
"November 2016","2,172,098","1,871,499","x","x","x"
"December 2016","1,415,311","1,997,700","x","x","x"
"January 2017","1,653,404","1,228,109","x","x","x"
"February 2017","1,604,952","1,376,929","x","x","x"
"March 2017","1,880,772","1,592,091","x","x","x"
"April 2017","1,580,787","1,485,600","x","x","x"
"May 2017","1,935,191r","2,054,875","x","x","x"
"June 2017","1,925,349","1,796,520","x","x","x"
"July 2017","1,673,252","1,787,128","x","x","x"
"August 2017","1,846,273","2,033,892","x","x","x"
"September 2017","1,655,521","1,752,771","x","x","x"
"October 2017","1,970,745","1,763,759","x","x","x"
"November 2017","2,175,761","1,624,214","x","x","x"
"December 2017","1,166,840","1,932,982","x","x","x"
"January 2018","1,548,314A","1,325,425A","x","x","2,428,330A"
"February 2018","1,509,441A","1,383,982A","-21,054A","2,428,330A","2,532,735A"
"March 2018","1,850,556A,r","1,667,976A,r","-59,057A,r","2,532,735A,r","2,656,258A,r"
"April 2018","1,664,500A","1,568,080A","-23,571A","2,656,258A","2,729,107A"
"May 2018","1,822,172A","2,002,748A","x","2,729,107A","x"
"June 2018","1,608,183A","1,785,998A","x","x","2,313,523A"
"July 2018","1,831,275A","1,802,864A","x","2,313,523A","x"
"August 2018","1,832,769A","1,999,349A","x","x","2,052,182A"
"September 2018","1,677,927A","1,502,671A","x","2,052,182A","x"
"October 2018","2,072,293A","1,712,575A","x","x","2,247,421A"
"November 2018","2,067,643A","1,690,928A","x","2,247,421A","x"
"December 2018","1,388,125A","1,645,486A","x","x","2,104,486A"
"January 2019","1,840,209A","1,277,868A","x","2,104,486A","x"
"February 2019","1,831,299A","1,272,727A","x","x","2,873,923A"
"March 2019","2,066,253A","1,448,145A","x","2,873,923A","x"
"April 2019","1,852,158A","1,543,485A","x","x","3,430,198A"
"May 2019","1,833,948A","1,768,760A","x","3,430,198A","x"
"June 2019","1,666,877B","1,559,943B","x","x","3,436,156B"
